@relation bank-kmeans

@attribute Cluster {cluster0}
@attribute id {ID12102,ID12103,ID12108,ID12109,ID12110,ID12111,ID12112,ID12115,ID12116,ID12120,ID12122,ID12123,ID12125,ID12126,ID12127,ID12129,ID12133,ID12134,ID12137,ID12139,ID12142,ID12145,ID12150,ID12158,ID12163,ID12164,ID12165,ID12166,ID12171,ID12173,ID12179,ID12182,ID12186,ID12187,ID12189,ID12194,ID12195,ID12196,ID12200,ID12202,ID12206,ID12207,ID12208,ID12209,ID12213,ID12215,ID12216,ID12227,ID12228,ID12229,ID12234,ID12241,ID12244,ID12247,ID12249,ID12250,ID12255,ID12257,ID12258,ID12261,ID12270,ID12271,ID12272,ID12273,ID12274,ID12277,ID12283,ID12284,ID12285,ID12289,ID12290,ID12292,ID12298,ID12303,ID12304,ID12307,ID12309,ID12313,ID12315,ID12316,ID12317,ID12318,ID12320,ID12327,ID12334,ID12340,ID12343,ID12344,ID12345,ID12346,ID12348,ID12349,ID12350,ID12351,ID12361,ID12364,ID12365,ID12369,ID12370,ID12373}
@attribute age numeric
@attribute sex {MALE,FEMALE}
@attribute region {TOWN,INNER_CITY,SUBURBAN,RURAL}
@attribute income {'$30,085','$16,575','$24,947','$25,304','$24,212','$59,804','$26,659','$19,475','$22,342','$22,523','$16,497','$38,447','$12,640','$41,034','$20,810','$29,359','$23,443','$29,921','$10,953','$18,504','$26,953','$13,740','$17,867','$23,125','$27,023','$11,700','$5,014','$17,390','$14,065','$31,982','$14,725','$27,808','$31,683','$15,525','$15,849','$42,579','$41,127','$9,990','$15,349','$11,604','$32,396','$46,633','$13,040','$12,682','$37,094','$43,228','$47,797','$25,258','$42,604','$14,093','$36,436','$37,095','$48,975','$20,236','$25,733','$28,240','$23,356','$26,463','$20,467','$18,876','$34,021','$49,176','$19,726','$24,347','$26,999','$37,559','$37,707','$18,516','$29,622','$34,867','$21,797','$14,996','$48,720','$16,977','$19,013','$59,409','$39,667','$14,433','$9,824','$17,610','$15,156','$31,774','$28,599','$50,475','$30,404','$12,824','$35,264','$19,968','$27,826','$37,774','$21,384','$20,347','$21,332','$57,672','$17,180','$46,358','$19,166','$34,625','$16,673','$13,236'}
@attribute married {YES,NO}
@attribute children numeric
@attribute car {YES,NO}
@attribute save_act {NO,YES}
@attribute current_act {YES,NO}
@attribute mortgage {YES,NO}
@attribute pep {NO,YES}

@data

cluster0,ID12102,40,MALE,TOWN,'$30,085',YES,3,YES,NO,YES,YES,NO
cluster0,ID12103,51,FEMALE,INNER_CITY,'$16,575',YES,0,YES,YES,YES,NO,NO
cluster0,ID12108,58,MALE,TOWN,'$24,947',YES,0,YES,YES,YES,NO,NO
cluster0,ID12109,37,FEMALE,SUBURBAN,'$25,304',YES,2,YES,NO,NO,NO,NO
cluster0,ID12110,54,MALE,TOWN,'$24,212',YES,2,YES,YES,YES,NO,NO
cluster0,ID12111,66,FEMALE,TOWN,'$59,804',YES,0,NO,YES,YES,NO,NO
cluster0,ID12112,52,FEMALE,INNER_CITY,'$26,659',NO,0,YES,YES,YES,YES,NO
cluster0,ID12115,36,MALE,RURAL,'$19,475',YES,0,NO,YES,YES,YES,NO
cluster0,ID12116,38,FEMALE,INNER_CITY,'$22,342',YES,0,YES,YES,YES,YES,NO
cluster0,ID12120,31,MALE,TOWN,'$22,523',YES,0,YES,YES,YES,NO,NO
cluster0,ID12122,50,MALE,TOWN,'$16,497',YES,2,NO,YES,YES,NO,NO
cluster0,ID12123,54,MALE,INNER_CITY,'$38,447',YES,0,NO,YES,YES,NO,NO
cluster0,ID12125,22,MALE,INNER_CITY,'$12,640',NO,2,YES,YES,YES,NO,NO
cluster0,ID12126,56,MALE,INNER_CITY,'$41,034',YES,0,YES,YES,YES,YES,NO
cluster0,ID12127,45,MALE,INNER_CITY,'$20,810',YES,0,NO,YES,YES,YES,NO
cluster0,ID12129,39,FEMALE,INNER_CITY,'$29,359',NO,3,YES,NO,YES,YES,NO
cluster0,ID12133,45,MALE,SUBURBAN,'$23,443',YES,1,YES,YES,YES,NO,YES
cluster0,ID12134,33,FEMALE,INNER_CITY,'$29,921',NO,3,YES,YES,NO,NO,NO
cluster0,ID12137,19,MALE,RURAL,'$10,953',YES,3,YES,YES,YES,NO,NO
cluster0,ID12139,43,FEMALE,TOWN,'$18,504',YES,0,YES,YES,YES,NO,NO
cluster0,ID12142,47,FEMALE,INNER_CITY,'$26,953',YES,0,YES,NO,YES,NO,NO
cluster0,ID12145,20,MALE,INNER_CITY,'$13,740',NO,2,YES,YES,YES,YES,NO
cluster0,ID12150,47,FEMALE,RURAL,'$17,867',YES,2,YES,YES,NO,NO,NO
cluster0,ID12158,28,MALE,INNER_CITY,'$23,125',YES,0,NO,YES,YES,NO,YES
cluster0,ID12163,47,MALE,INNER_CITY,'$27,023',YES,2,NO,YES,YES,NO,NO
cluster0,ID12164,20,MALE,INNER_CITY,'$11,700',YES,0,NO,YES,NO,NO,NO
cluster0,ID12165,21,MALE,TOWN,'$5,014',NO,0,YES,YES,YES,YES,NO
cluster0,ID12166,42,MALE,INNER_CITY,'$17,390',YES,0,NO,YES,YES,NO,NO
cluster0,ID12171,25,MALE,INNER_CITY,'$14,065',YES,3,YES,YES,YES,NO,NO
cluster0,ID12173,36,MALE,INNER_CITY,'$31,982',YES,3,YES,YES,YES,YES,YES
